material_id,formula,band_gap,e_hull,formation_energy
mp-1183115,AcAlO3,4.1024,0.0,-3.690019421500002
mp-866101,AcCrO3,2.0031,0.0,-3.1389721295
mp-864606,AcCuO3,0.0,0.0,-2.4228924235
mp-861502,AcFeO3,0.9887999999999991,0.0,-2.771539465500001
mp-1183053,AcGaO3,2.895900000000001,0.0,-3.063252617
mp-1183142,AcMgO3,0.0,0.082312486499999,-3.0018453265
mp-864911,AcMnO3,0.0,0.0,-2.973630023086206
mp-1183139,AcNiO3,0.0,0.0,-2.455476575499998
mp-1183145,AcPdO3,0.0,0.008102040999999,-2.236955405499998
mp-1183152,AcScO3,3.3847,0.024140034874998002,-3.8290604304999993
mp-1183150,AcSiO3,0.0,0.47336186625000004,-2.8682463835
mp-865927,AcTiO3,0.0,0.0,-3.60763573816667
mp-1183168,AcVO3,0.0,0.0,-3.141069095500003
mp-1105645,Ag3SBr,0.2964,0.09831240649999601,-0.30571611199999804
mp-1229116,Ag3SBr,0.39870000000000005,0.063698640999996,-0.34032987749999805
mp-36600,Ag3SBr,0.39769999999999905,0.068296385999996,-0.335732132499998
mp-1173025,Ag3SI,0.33980000000000005,0.08667530199999601,-0.24060876049999802
mp-22995,Ag3SI,0.5478000000000001,0.066818196999996,-0.260465865499998
mp-558189,Ag3SI,0.6242999999999991,0.11639550499999601,-0.21088855749999802
mp-632480,Ag3SI,0.167599999999999,0.073682232999996,-0.25360182949999804
mp-673825,Ag3SI,0.256999999999999,0.08476500199999601,-0.24251906049999802
mp-674981,Ag3SI,0.262399999999999,0.077225024999996,-0.250059037499998
mp-675879,Ag3SI,0.32160000000000005,0.07550974299999601,-0.251774319499998
mp-676121,Ag3SI,0.373899999999999,0.073934319999996,-0.25334974249999803
mp-676561,Ag3SI,0.333,0.077612204999996,-0.249671857499998
mp-1178563,AgAsO3,0.2921,0.0,-1.269711258833334
mp-558950,AgAsO3,0.5930000000000001,0.025765314249999,-1.243945944583333
mp-775767,AgAsO3,0.7378,0.037267864500000004,-1.232443394333333
mp-752678,AgAuO3,0.0,0.41873277333333103,0.002464529166667
mp-776165,AgAuO3,0.24230000000000002,0.059424401833331,-0.35684384233333205
mp-780275,AgBO3,0.0,0.08524003049999801,-1.501129671166666
mp-23548,AgBiO3,0.0,0.049876170999993,-1.003011011333333
mp-775774,AgBiO3,0.0,0.027917849999993003,-1.024969332333334
mp-1178562,AgBrO3,2.383,0.0016533185833330002,-0.28503579633333204
mp-753176,AgCO3,0.0,0.004634585999996,-1.233628131333331
mp-1178561,AgClO3,2.7117,0.092817574499997,-0.352711819333332
mp-27941,AgClO3,2.3983,0.038284726499997,-0.40724466733333303
mp-775761,AgClO3,3.1001,0.031584152499997,-0.41394524133333305
mp-776199,AgClO3,3.113099999999999,0.048604945499998005,-0.396924448333332
mp-759939,AgGeO3,0.0,0.16110908199999402,-1.309913022333333
mp-779664,AgGeO3,0.0,0.13516193099999302,-1.335860173333333
mp-779706,AgGeO3,0.0,0.139566285499993,-1.331455818833333
mp-891854,AgGeO3,0.0,0.135711886999994,-1.335310217333333
mp-891880,AgGeO3,0.0,0.133380353624994,-1.337641750708333
mp-1202188,AgIO3,1.806899999999999,0.010943250000000002,-0.7021254153333331
mp-27384,AgIO3,2.4375,0.0,-0.713068665333332
mp-849271,AgIO3,1.9765000000000001,0.027469873500000002,-0.685598791833332
mp-552185,AgNO3,1.853899999999999,0.0,-0.6806635453333341
mp-638686,AgNO3,2.008899999999999,0.002379382500001,-0.678284162833332
mp-669466,AgNO3,2.0027,0.005029588000001001,-0.6756339573333331
mp-8196,AgNO3,1.7204000000000002,0.031171343000002003,-0.649492202333333
mp-18702,AgPO3,2.0232,0.0,-1.958048157761911
mp-775762,AgPO3,2.287,0.045444828500007,-1.912603329261903
mp-5470,AgPS3,1.3228,0.004740131833317,-0.23250120628273602
mp-1200271,AgPd3Se,0.0,0.000731596666668,-0.19395688359027402
mp-776166,AgPdO3,0.0,0.43927204399999703,-0.174272703333333
mp-776168,AgRuO3,0.0,0.057777263,-0.9938485823333331
mp-540872,AgSbO3,0.094599999999999,0.0,-1.444474670333332
mp-545999,AgSbO3,0.133299999999999,0.016763159999999,-1.427711510333333
mp-677054,AgSbO3,0.0,0.076518499333332,-1.367956170999999
mp-860791,AgSbO3,0.28749999999999903,0.06042335233333201,-1.384051318
mp-569052,AgSe3I,1.396399999999999,0.01609162759375,-0.17101233173958202
mp-755834,AgSnO3,0.0,0.091669975999994,-1.349847933333332
mp-570431,AgTe3I,1.0025,0.175717689346154,-0.16816866833333202
mp-558637,AgTeO3,1.6662,0.020474349750000002,-1.125950917416666
mp-559257,AgTeO3,1.5732,0.0,-1.146425267166666
mp-561489,AgTeO3,1.1676,0.020124158499999,-1.126301108666666
mp-1228446,Al3BC,0.453,0.0,-0.202281617499998
mp-1183169,AlAgO3,0.0,0.28559733533333304,-1.615019715333333
mp-1253488,AlAgO3,0.062200000000000005,0.139520041833333,-1.761097008833333
mp-1343327,AlAgO3,0.048099999999999005,0.279733864666666,-1.620883186
mp-1343733,AlAgO3,0.032,0.163016555333333,-1.7376004953333322
mp-8110,AlBO3,5.8392,0.030454673153846003,-3.118357856833333
mp-1344602,AlBiO3,0.9480000000000001,0.234789572749995,-2.3190562765
mp-23080,AlBiO3,1.585999999999999,0.12160923424999501,-2.432236615
mp-551918,AlBiO3,2.977899999999999,0.053335064249994006,-2.5005107850000012
mp-775763,AlBiO3,3.0001,0.078294178749994,-2.475551670500001
mp-10037,AlCo3C,0.0,0.021354330499999002,-0.20122812149999703
mp-1178576,AlCoO3,2.5603,0.031363284499999006,-2.309915378999999
mp-1248478,AlCoO3,0.0,0.250709234166665,-2.090569429333334
mp-1348445,AlCoO3,0.0,0.23883475983333202,-2.102443903666667
mp-1378752,AlCoO3,0.0,0.182023874999999,-2.159254788499999
mp-1386773,AlCoO3,0.0,0.256464872499999,-2.084813790999999
mp-754022,AlCoO3,0.8939,0.11607658149999901,-2.225202081999999
mp-756947,AlCoO3,0.827199999999999,0.10164703299999901,-2.239631630499999
mp-776216,AlCoO3,0.3481,0.10484106749999901,-2.236437595999999
mp-1251690,AlCrO3,1.1578,0.35214237549999905,-2.544427012999999
mp-1345463,AlCrO3,1.802899999999999,0.176285460999999,-2.7202839275
mp-1385937,AlCrO3,0.0,0.37491101949999805,-2.521658369
mp-1178579,AlCuO3,0.13490000000000002,0.10938641112500001,-2.029827841999999
mp-1253258,AlCuO3,0.0,0.166064832791666,-1.9731494203333342
mp-1347317,AlCuO3,0.0,0.18156041862500003,-1.957653834499999
mp-1412082,AlCuO3,0.0,0.20133596912499901,-1.937878284
mp-776172,AlCuO3,0.35000000000000003,0.083311382125,-2.055902871
mp-1206715,AlFe3B,0.0,0.16867368699999602,-0.146577185833332
mp-22793,AlFe3C,0.0,0.0,-0.159749470999999
mp-1206123,AlFe3H,0.0,0.0,-0.20500472224999902
mp-1206767,AlFe3N,0.0,0.323238184999998,-0.310164052999998
mp-1178577,AlFeO3,2.1792,0.032552852499998,-2.534268328
mp-1254277,AlFeO3,1.3295,0.280233170999999,-2.286588009499999
mp-1259818,AlFeO3,1.360799999999999,0.2106262885,-2.356194891999999
mp-1264966,AlFeO3,0.6687000000000001,0.23604759199999903,-2.3307735885
mp-1398131,AlFeO3,0.0,0.26554455049999903,-2.301276629999999
mp-21216,AlFeO3,1.9962,0.043955834999999006,-2.5228653455
mp-776154,AlFeO3,2.1089,0.08031608349999901,-2.486505096999999
mp-756686,AlGaO3,3.0761,0.107533476999998,-2.740240361500001
mp-772187,AlGaO3,3.4263999999999992,0.028743235249999003,-2.81903060325
mp-772898,AlGaO3,3.5313,0.027670599999999,-2.8201032384999998
mp-1178550,AlInO3,0.0,0.063033765999999,-2.647275431833333
mp-1183160,AlInO3,0.0,0.46780454750000006,-2.2425046503333332
mp-754157,AlInO3,2.162,0.034660067499999,-2.675649130333332
mp-504482,AlInS3,2.081299999999999,0.0,-1.002490066354166
mp-862787,AlInSe3,1.6333000000000002,0.0,-0.8639210584375001
mp-1246835,AlMoN3,1.4508,0.20413019479999903,-0.651638212999999
mp-1248370,AlMoO3,0.734799999999999,0.46363220374999803,-2.159343135000001
mp-1373731,AlMoO3,1.4177,0.17625915524999902,-2.4467161835
mp-1207084,AlNi3C,0.0,0.165907390499999,-0.175228431499998
mp-1228852,AlNi3Sb,0.0,0.201821444499998,-0.21045276899999601
mp-1333178,AlNiO3,0.0,0.359988354,-1.846172374333333
mp-1376903,AlNiO3,0.0,0.19308416283333402,-2.013076565499999
mp-1400395,AlNiO3,0.0,0.370515997333332,-1.835644731
mp-1178574,AlPdO3,0.0,0.116577814499999,-1.9729209909999992
mp-776116,AlPdO3,0.0,0.15571422949999802,-1.933784576
mp-1178547,AlRhO3,1.7659,0.038796595749999004,-2.223008536
mp-1079481,AlSBr3,0.147899999999999,0.361249582,-0.8531906474999991
mp-1183134,AlSbO3,1.1346,0.319599526000004,-2.269544728999999
mp-1261047,AlSbO3,3.9107000000000003,0.061852403500004004,-2.527291851499999
mp-1371447,AlSbO3,0.0,0.339868097500004,-2.249276157499999
mp-1374707,AlSbO3,1.2462,0.406103865000003,-2.18304039
mp-5168,AlSiP3,0.288599999999999,0.007223912499998,-0.373110040035714
mp-31220,AlSiTe3,1.2504,0.0,-0.332382315999998
mp-1248301,AlSnO3,0.0,0.429956209458335,-2.242107410666667
mp-1340379,AlSnO3,0.0,0.23543624212500203,-2.436627378
mp-768539,AlTlO3,1.208199999999999,0.075319551499999,-2.188174606166668
mp-1178549,AlVO3,1.569,0.019815870624997,-2.96073348
mp-1248251,AlVO3,1.679199999999999,0.151617486124996,-2.8289318645000012
mp-1384488,AlVO3,0.0,0.32760301362499705,-2.652946337
mp-756082,AlVO3,0.0,0.086443080124997,-2.894106270500001
mp-765647,AlVO3,1.1677,0.08873259612499601,-2.8918167545
mp-1246403,AlWN3,1.5971000000000002,0.32059491900000103,-0.629926407374998
mp-1046804,AlWO3,0.8598999999999991,0.285851663249996,-2.343923776999999
mp-755240,AsAuO3,0.357699999999999,0.11758776333333701,-1.0752385365000001
mp-27274,AsCF3,3.3193,0.49251551625000006,-1.290979925749998
mp-29863,AsCl3O,2.5284,0.0,-1.156071267499999
mp-1246423,BMoN3,1.0201,0.38113039279999905,-0.42771286283333304
mp-753806,BSbO3,3.762,0.048014838166666005,-2.226882067833333
mp-755829,BSbO3,3.7211,0.047189438666666,-2.227707467333334
mp-1013734,Ba3AsN,0.0,0.08112790405128101,-0.7428217785000001
mp-1013586,Ba3AsP,0.0,0.34367354575001,-0.6829273324285711
mp-1013563,Ba3BiAs,0.0,0.162350350538463,-0.8243075855
mp-1013549,Ba3BiN,0.0,0.056357219999997,-0.7924901430000001
