step,formula,score,accepted,seed
48,CaHfTe3,0.01879287509665381,True,BaHfS3
49,CaMgTe3,0.04493539168566536,True,BaHfS3
50,CaHfTe3,0.01879287509665381,True,BaHfS3
51,CaMnTe3,-0.013984804727992387,True,BaHfS3
52,KMnTe3,0.015049324560125142,False,BaHfS3
53,CaMnTe3,-0.013984804727992387,True,BaHfS3
54,LaMnTe3,0.0009601763791261408,True,BaHfS3
55,LaMnSe3,0.01138912315908284,True,BaHfS3
56,CaMnSe3,0.004247322359276823,True,BaHfS3
57,CaMnBr3,0.013524506640539957,True,BaHfS3
58,SrMnBr3,0.036293014578350054,True,BaHfS3
59,SrMgBr3,0.029592323492998573,True,BaHfS3
60,SrMnBr3,0.036293014578350054,True,BaHfS3
61,SrMnSe3,0.015331796858720954,True,BaHfS3
62,SrMnI3,0.05603990925783988,False,BaHfS3
63,SrMnBr3,0.036293014578350054,True,BaHfS3
64,CsMnBr3,0.000151682032607872,True,BaHfS3
65,CsMnSe3,-0.006446971182351423,True,BaHfS3
66,CsSnSe3,-0.0008702646254689946,True,BaHfS3
67,CsMnSe3,-0.006446971182351423,True,BaHfS3
68,CsZrSe3,0.05469728163319706,True,BaHfS3
69,CsZrBr3,0.03131797872908428,True,BaHfS3
70,LaZrBr3,0.11713799275930262,False,BaHfS3
71,CsTiBr3,0.0013764920495929818,True,BaHfS3
72,CsTiI3,0.009028009340809395,False,BaHfS3
73,CsTiCl3,0.001162987457467649,True,BaHfS3
74,CsTiBr3,0.0013764920495929818,True,BaHfS3
75,CsTiTe3,0.0004615342370580277,True,BaHfS3
76,CsGeTe3,-0.013536540910406502,True,BaHfS3
77,CsGeCl3,-0.00048019714493871226,True,BaHfS3
78,YGeCl3,0.08798494650984479,False,BaHfS3
79,CsGeCl3,-0.00048019714493871226,True,BaHfS3
80,CsGeSe3,-0.011745536751705933,True,BaHfS3
81,CsZrSe3,0.05469728163319706,False,BaHfS3
82,CsMnSe3,-0.006446971182351423,True,BaHfS3
83,CsMnBr3,0.000151682032607872,False,BaHfS3
84,CsPbSe3,-0.023783516674039197,True,BaHfS3
85,CsPbBr3,0.034523612751168185,False,BaHfS3
86,BaPbSe3,-0.021690124078093526,True,BaHfS3
87,BaPbSe3,-0.021690124078093526,True,BaHfS3
88,RbPbSe3,-0.024855133802474737,True,BaHfS3
89,SrPbSe3,-0.009724412503397591,False,BaHfS3
90,RbPbSe3,-0.024855133802474737,True,BaHfS3
91,RbGeSe3,-0.018089710750114656,True,BaHfS3
92,NaGeSe3,0.006028207481064199,True,BaHfS3
93,YGeSe3,0.010565255229065922,False,BaHfS3
94,NaGeBr3,0.0029688201754991895,True,BaHfS3
95,NaHfBr3,0.19605540946571234,False,BaHfS3
96,YGeBr3,0.03148937147454072,False,BaHfS3
97,LaGeBr3,0.046134827850620855,False,BaHfS3
98,NaGeBr3,0.0029688201754991895,True,BaHfS3
99,NaGeS3,0.11088442868856872,False,BaHfS3
0,SrHfS3,0.003151973175880031,True,SrHfS3
1,SrZrS3,-0.0016271852310476794,True,SrHfS3
2,SrZrSe3,0.020113190561821804,True,SrHfS3
3,SrZrS3,-0.0016271852310476794,True,SrHfS3
4,NaZrS3,0.14943153454024816,False,SrHfS3
5,SrZrSe3,0.020113190561821804,False,SrHfS3
6,SrZrS3,-0.0016271852310476794,True,SrHfS3
7,SrZnS3,0.11348990073016409,False,SrHfS3
8,SrPbS3,-0.00023360795777928813,True,SrHfS3
9,SrGeS3,0.05604877701031979,False,SrHfS3
10,SrZrS3,-0.0016271852310476794,True,SrHfS3
11,SrMnS3,0.11287883555358597,False,SrHfS3
12,SrZrI3,0.04186947466908018,False,SrHfS3
13,SrMgS3,0.1665315920910478,False,SrHfS3
14,BaZrS3,-0.0012171200612694428,True,SrHfS3
15,BaHfS3,-0.0017313920365326545,True,SrHfS3
16,LaHfS3,0.007488286418821457,True,SrHfS3
17,LaHfTe3,0.03452726512996667,True,SrHfS3
18,LaZrTe3,0.016473020198014162,True,SrHfS3
19,LaZrS3,0.004382327924094475,True,SrHfS3
20,LaMnS3,0.04219914830140641,False,SrHfS3
21,CsZrS3,0.05261073622463999,False,SrHfS3
22,LaZrCl3,0.13144483337625776,False,SrHfS3
23,CaZrS3,0.03727391230192183,True,SrHfS3
24,EuZrS3,0.000858961234519152,True,SrHfS3
25,EuGeS3,0.01656720827380273,True,SrHfS3
26,EuGeBr3,0.08015236114715946,True,SrHfS3
27,LaGeBr3,0.046134827850620855,True,SrHfS3
28,EuGeBr3,0.08015236114715946,True,SrHfS3
29,CsGeBr3,-0.001442880740816543,True,SrHfS3
30,YGeBr3,0.03148937147454072,True,SrHfS3
31,YGeBr3,0.03148937147454072,True,SrHfS3
32,EuGeBr3,0.08015236114715946,False,SrHfS3
33,CsGeBr3,-0.001442880740816543,True,SrHfS3
34,CsGeBr3,-0.001442880740816543,True,SrHfS3
35,YGeBr3,0.03148937147454072,True,SrHfS3
36,YGeI3,0.06256711659590623,True,SrHfS3
37,YSnI3,0.05706185015050024,True,SrHfS3
38,YSnBr3,0.08217182038773295,False,SrHfS3
39,YSnTe3,0.025293093896493507,True,SrHfS3
40,YZrTe3,0.04392884290541389,True,SrHfS3
41,YZrCl3,0.1571468646309284,False,SrHfS3
42,YPbTe3,0.01685697620656623,True,SrHfS3
43,LaPbTe3,0.021777412570809986,True,SrHfS3
44,LaGeTe3,-0.02194054482275371,True,SrHfS3
45,LaZnTe3,0.012417457418482193,True,SrHfS3
46,LaZnTe3,0.012417457418482193,True,SrHfS3
47,LaMnTe3,0.0009601763791261408,True,SrHfS3
48,EuMnTe3,0.004797646356664819,True,SrHfS3
49,EuMnBr3,0.049988712041397966,True,SrHfS3
50,KMnBr3,0.0015337819359861485,True,SrHfS3
51,KMnS3,0.06837704266011713,False,SrHfS3
52,CsMnBr3,0.000151682032607872,True,SrHfS3
53,CsMnBr3,0.000151682032607872,True,SrHfS3
54,CsMnBr3,0.000151682032607872,True,SrHfS3
55,CaMnBr3,0.013524506640539957,True,SrHfS3
56,SrMnBr3,0.036293014578350054,True,SrHfS3
57,CsMnBr3,0.000151682032607872,True,SrHfS3
58,CsMnBr3,0.000151682032607872,True,SrHfS3
59,RbMnBr3,-0.0012885362231788906,True,SrHfS3
60,RbMnCl3,0.0022161989394274776,True,SrHfS3
61,CsMnCl3,-0.003925424710561378,True,SrHfS3
62,CsTiCl3,0.001162987457467649,False,SrHfS3
63,CsMnCl3,-0.003925424710561378,True,SrHfS3
64,CsHfCl3,0.15194413481893265,True,SrHfS3
65,CaHfCl3,0.16371154454955858,False,SrHfS3
66,CsSnCl3,0.0011369950077184054,True,SrHfS3
67,LaSnCl3,0.05203976014570674,False,SrHfS3
